Number of Hidden Nodes, Learning Rate, Activation Function, RMSE (1), RMSE (2), RMSE (3), RMSE (Average)
4, 0.325, TANH, 37.63081972632417, 38.067145785850435, 37.897985258131364, 37.86531692343532
4, 0.325, RELU, 62.10648737987868, 39.72857807015798, 43.367638492929714, 48.40090131432212
4, 0.35, SIGMOID, 34.34762987261398, 34.591908354203504, 34.01160989077602, 34.317049372531166
4, 0.35, TANH, 38.10052264855745, 38.11543971378863, 37.92435218364386, 38.046771515329986
4, 0.35, RELU, 45.09541224732468, 45.16367911377081, 44.31133118288944, 44.85680751466165
4, 0.375, SIGMOID, 34.13092522383526, 33.979459148283304, 33.14884038774914, 33.75307491995591
4, 0.375, TANH, 38.05533375608718, 37.805554411614615, 38.11195958613135, 37.99094925127772
4, 0.375, RELU, 45.336563211773274, 55.046724246544855, 42.37269058985966, 47.58532601605926
4, 0.4, SIGMOID, 32.39201556638666, 33.62131034320489, 34.62778827785598, 33.54703806248251
4, 0.4, TANH, 37.743173575067786, 37.86001052531273, 38.18623314124465, 37.929805747208384
4, 0.4, RELU, 43.77176943356987, 53.26524028796865, 41.86661915529941, 46.30120962561264
4, 0.425, SIGMOID, 33.67616206414848, 33.70605214278491, 33.79859759134994, 33.72693726609444
4, 0.425, TANH, 37.851296671127116, 38.06258127903237, 37.74769906273985, 37.88719233763311
4, 0.425, RELU, 49.04867643772137, 72.53935345681282, 43.584029140224494, 55.05735301158623
4, 0.45, SIGMOID, 34.08515039215215, 33.876220465911594, 34.944833027512765, 34.30206796185883
4, 0.45, TANH, 37.45047529021687, 37.562462683931564, 37.63554753559294, 37.54949516991379
4, 0.45, RELU, 80.98688266312492, 53.72878386998892, 44.04736472542175, 59.58767708617853
4, 0.475, SIGMOID, 32.908607184717596, 34.07463425661973, 33.55643096558617, 33.51322413564117
4, 0.475, TANH, 37.24209870172457, 37.26051205497244, 37.35355411882552, 37.28538829184084
4, 0.475, RELU, 54.13776117977423, 55.11011332356784, 40.501373633622954, 49.91641604565501
4, 0.5, SIGMOID, 32.90127183808301, 34.60804553156597, 33.72817148446868, 33.74582961803922
4, 0.5, TANH, 36.85740030187868, 37.14606737809465, 37.15926564376306, 37.05424444124546
4, 0.5, RELU, 55.76078132912788, 45.85193474902752, 59.292274666051895, 53.63499691473576
5, 0.025, SIGMOID, 52.30882153133786, 52.81635387881896, 52.55770367435843, 52.560959694838424
5, 0.025, TANH, 33.61971181085529, 42.939724628738624, 33.695045139563945, 36.75149385971929
5, 0.025, RELU, 37.8372357089752, 45.630338783085826, 41.27781627283467, 41.5817969216319
5, 0.05, SIGMOID, 49.92651437635857, 50.24986853814884, 51.8340881079718, 50.67015700749307
5, 0.05, TANH, 33.94635645320211, 34.138364077657464, 34.505531624141106, 34.19675071833356
5, 0.05, RELU, 42.22601873195259, 40.90907736147379, 38.07174956647847, 40.40228188663495
5, 0.075, SIGMOID, 50.79875484055164, 34.26778609126012, 32.951008314008924, 39.33918308194023
5, 0.075, TANH, 34.47045783015912, 34.7219619107887, 34.46013936050503, 34.55085303381762
5, 0.075, RELU, 36.691814924680465, 39.91264007145977, 37.82886956124657, 38.14444151912894
5, 0.1, SIGMOID, 47.65844323568577, 34.60213119960173, 33.62778178899651, 38.62945207476134
5, 0.1, TANH, 35.108738542058944, 35.622735457837045, 35.44284323502266, 35.39143907830621
5, 0.1, RELU, 38.05270553395051, 48.5115823548955, 34.71220690125737, 40.42549826336779
5, 0.125, SIGMOID, 33.48451068864585, 33.87193776257725, 33.04685442946973, 33.467767626897604
5, 0.125, TANH, 36.06006135819167, 36.20056149487735, 36.017973479505216, 36.09286544419141
5, 0.125, RELU, 43.16340138472272, 37.05438566593333, 37.747601191453604, 39.32179608070322
5, 0.15, SIGMOID, 33.26556180197169, 33.47403481239878, 34.31946452617585, 33.68635371351544
5, 0.15, TANH, 45.52750742566627, 37.056869965646456, 36.493370306182214, 39.69258256583165
5, 0.15, RELU, 34.96940215393858, 49.20624759250213, 61.00794205053291, 48.3945305989912
5, 0.175, SIGMOID, 33.99043725368006, 33.3525338279086, 34.14654305230613, 33.82983804463159
5, 0.175, TANH, 37.377084881502135, 37.25367489553023, 37.37773703293352, 37.336165603321966
5, 0.175, RELU, 37.55892770017252, 53.75271987790619, 37.46923297179163, 42.92696018329011
5, 0.2, SIGMOID, 33.35267131469864, 33.688941388982464, 33.49454105945766, 33.512051254379585
5, 0.2, TANH, 37.27725066282408, 37.35530147065208, 36.75400466620436, 37.12885226656018
5, 0.2, RELU, 52.153860203145705, 51.85278288254097, 59.99344010618188, 54.66669439728952
5, 0.225, SIGMOID, 35.30086231209134, 33.48414700741562, 33.72943586251648, 34.17148172734115
5, 0.225, TANH, 37.699382646998274, 37.762742512662946, 37.49919532013802, 37.653773493266414
5, 0.225, RELU, 48.45893739853149, 42.553257430262114, 38.709533162704524, 43.24057599716605
5, 0.25, SIGMOID, 35.3333574094884, 35.150904896668074, 33.41373699417297, 34.63266643344315
5, 0.25, TANH, 37.62461073518136, 37.96687199575687, 38.04509650882585, 37.87885974658803
5, 0.25, RELU, 37.679722328166584, 37.80622181040553, 45.15043874830805, 40.212127628960054
5, 0.275, SIGMOID, 35.09027743765923, 33.485155994556145, 33.35473965122179, 33.97672436114572
5, 0.275, TANH, 37.89758402823633, 38.01263535026125, 37.90634710268574, 37.93885549372777
5, 0.275, RELU, 42.21728422022312, 34.71266838867076, 40.452566789780064, 39.127506466224645
5, 0.3, SIGMOID, 35.07122199225044, 33.9364847836948, 33.18013335127542, 34.06261337574023
5, 0.3, TANH, 37.79865223580434, 37.87131151742979, 38.13218028897755, 37.93404801407056
5, 0.3, RELU, 61.9262559255655, 39.901875068379084, 44.939712256880384, 48.922614416941656
5, 0.325, SIGMOID, 33.77935508985835, 35.17863782125696, 32.77612672094691, 33.91137321068741
5, 0.325, TANH, 37.98015069235062, 38.089766732072334, 37.903872687906826, 37.99126337077659
5, 0.325, RELU, 39.82734487582536, 41.12018470171733, 45.06688270331902, 42.00480409362057
5, 0.35, SIGMOID, 34.35028958458562, 33.937462825925344, 35.16201462987295, 34.48325568012797
5, 0.35, TANH, 38.11282872208051, 37.827893393661434, 37.95177005720235, 37.9641640576481
5, 0.35, RELU, 41.09581922948992, 69.91425781758765, 49.4379658590561, 53.48268096871123
5, 0.375, SIGMOID, 33.663956645919114, 34.89995189362863, 33.85935465599443, 34.14108773184739
5, 0.375, TANH, 37.5924178447741, 37.76287307159397, 37.775950949167814, 37.71041395517863
5, 0.375, RELU, 36.90197168851269, 49.678717473354766, 41.64459886902438, 42.74176267696394
5, 0.4, SIGMOID, 35.37605378378697, 33.82532324939275, 34.98318914115781, 34.72818872477918
5, 0.4, TANH, 37.80112415625174, 37.50135578675187, 37.417767077299885, 37.5734156734345
5, 0.4, RELU, 48.54466536156451, 40.87579026426587, 45.187518126149115, 44.86932458399317
5, 0.425, SIGMOID, 33.886502199977976, 33.52394652170264, 34.38340971079963, 33.93128614416008
5, 0.425, TANH, 37.61682294798778, 37.581810816390416, 38.002575811025885, 37.733736525134695
5, 0.425, RELU, 52.85448736131507, 44.267993393644346, 43.86735301166555, 46.99661125554166
5, 0.45, SIGMOID, 34.44705882713198, 34.144973291465824, 33.90936329208349, 34.16713180356044
5, 0.45, TANH, 37.4591104861494, 37.44352142735614, 37.183396950686294, 37.36200962139728
5, 0.45, RELU, 44.74015259475589, 43.98557335121634, 42.93007076274727, 43.885265569573164
5, 0.475, SIGMOID, 33.432615348741535, 34.49650719754761, 35.270651068391096, 34.39992453822674
5, 0.475, TANH, 37.211586846337696, 37.25375995425934, 37.260084068739154, 37.241810289778726
5, 0.475, RELU, 42.36518281069802, 46.67943263307358, 42.53299534344072, 43.85920359573745
5, 0.5, SIGMOID, 33.80257457784748, 33.77857777965148, 33.44612610051085, 33.675759486003265
5, 0.5, TANH, 37.1105606047459, 36.806142017484234, 36.840128753547106, 36.91894379192575
5, 0.5, RELU, 47.08109024069194, 52.251683976497134, 56.788863957416545, 52.04054605820187
6, 0.025, SIGMOID, 53.129784233428595, 53.086786581917266, 52.91828491347398, 53.04495190960662
6, 0.025, TANH, 33.844718324109095, 33.638652377509935, 35.062088292962784, 34.181819664860605
6, 0.025, RELU, 37.12987816334354, 35.5442072293753, 58.69115834428583, 43.78841457900156
6, 0.05, SIGMOID, 50.23720705531471, 51.41220026151228, 51.457449811121556, 51.03561904264952
6, 0.05, TANH, 34.09835617563641, 35.552399864510505, 42.62589698546526, 37.42555100853739
6, 0.05, RELU, 52.793877521897336, 39.35610449821558, 44.32125082571978, 45.4904109486109
6, 0.075, SIGMOID, 51.10060497725775, 34.55438460105368, 50.50945883512626, 45.3881494711459
6, 0.075, TANH, 34.91760184125754, 34.65189162704212, 34.52359506413248, 34.69769617747738
6, 0.075, RELU, 36.8192817322868, 47.84454447330934, 39.19771018568964, 41.28717879709526
6, 0.1, SIGMOID, 34.72740003696395, 33.359135524380704, 48.06636813464884, 38.71763456533116
6, 0.1, TANH, 35.34579799686648, 35.95701337456906, 35.56788463935443, 35.62356533692999
6, 0.1, RELU, 36.5480602342439, 53.398345167399995, 37.38044643417432, 42.442283945272735
6, 0.125, SIGMOID, 35.28362104027327, 34.45604418823488, 35.038448570441055, 34.926037932983064
6, 0.125, TANH, 39.68890431238063, 36.17499268796362, 36.556586012819075, 37.473494337721114
6, 0.125, RELU, 38.70822694358228, 39.369078796506194, 42.40108829264465, 40.15946467757771
6, 0.15, SIGMOID, 34.27264748759778, 34.5828611985056, 34.56102989202433, 34.47217952604257
6, 0.15, TANH, 37.55222811307256, 36.68761512604734, 36.58942572227131, 36.94308965379707
6, 0.15, RELU, 35.53161581755826, 38.57088254010403, 37.61978921997527, 37.240762525879184
6, 0.175, SIGMOID, 34.387740342144546, 34.98601253769152, 33.414460407645926, 34.262737762494
6, 0.175, TANH, 37.0218869385093, 36.97684942199656, 37.10317524099767, 37.03397053383451
6, 0.175, RELU, 40.15133257966738, 34.61102982499547, 35.66783092560994, 36.81006444342427
6, 0.2, SIGMOID, 33.279480456984686, 33.618012714599566, 34.6359392044605, 33.84447745868158
6, 0.2, TANH, 37.31207628828441, 37.13372064769021, 37.48803930532394, 37.311278747099514
6, 0.2, RELU, 58.293480588271514, 38.41168999136339, 35.180196722137296, 43.96178910059073
6, 0.225, SIGMOID, 34.25596461155855, 34.35034519936783, 33.35629775419657, 33.98753585504098
6, 0.225, TANH, 37.711415309649986, 37.664826276153825, 37.739809349446766, 37.70535031175019
6, 0.225, RELU, 40.635365092093394, 41.74160559526997, 35.669420379993255, 39.3487970224522
6, 0.25, SIGMOID, 33.35478011661765, 34.20776822053676, 34.44291947321482, 34.00182260345641
6, 0.25, TANH, 37.904301072122685, 37.38685342334158, 37.874700335845255, 37.72195161043651
6, 0.25, RELU, 41.013650529549906, 38.55155268533281, 36.20959525662807, 38.5915994905036
6, 0.275, SIGMOID, 34.85822039506424, 33.535878233133985, 34.41215772406783, 34.26875211742202
6, 0.275, TANH, 37.84056075411821, 37.93667007029431, 37.623517016281454, 37.80024928023133
6, 0.275, RELU, 39.48322322001221, 39.370288623504734, 40.477849258847954, 39.77712036745496
6, 0.3, SIGMOID, 33.71828749630646, 35.30033020191846, 34.65610826934804, 34.55824198919098
6, 0.3, TANH, 37.4957096395252, 37.94188033231086, 37.651205741713596, 37.696265237849886
6, 0.3, RELU, 39.72902095770861, 37.15482079925571, 41.97853280808896, 39.62079152168443
6, 0.325, SIGMOID, 33.63951397633007, 34.2875696127986, 34.77882051434836, 34.23530136782568
6, 0.325, TANH, 37.75103236819153, 38.02845355283224, 37.92360822358197, 37.90103138153524
6, 0.325, RELU, 38.72074498031296, 38.95813223083424, 45.25214227930985, 40.977006496819016
6, 0.35, SIGMOID, 34.92886944856898, 34.328704595018365, 35.04789032318243, 34.76848812225659
6, 0.35, TANH, 37.867263732405746, 37.84033231027464, 37.96582016833937, 37.89113873700659
6, 0.35, RELU, 41.12444160279886, 69.74643697892394, 47.9369810940643, 52.93595322526236
6, 0.375, SIGMOID, 34.08737093711218, 34.453058840261804, 34.42280583179484, 34.321078536389614
6, 0.375, TANH, 38.00763029643039, 37.584945799659714, 37.562587805773376, 37.71838796728783
6, 0.375, RELU, 45.2761762116328, 40.1652430303233, 40.152623838418954, 41.864681026791686
6, 0.4, SIGMOID, 32.232845229616416, 34.46678498348883, 35.701146495261476, 34.13359223612224
6, 0.4, TANH, 37.68983136505346, 37.59174697050234, 37.872229310942004, 37.71793588216593
6, 0.4, RELU, 40.90030939854925, 52.040884244661875, 46.016322393206664, 46.31917201213926
6, 0.425, SIGMOID, 34.37842571019989, 34.986974218622215, 34.82872493662413, 34.731374955148745
6, 0.425, TANH, 37.623749385855696, 37.46703106961976, 37.49198497078772, 37.527588475421055
6, 0.425, RELU, 55.562360543770716, 42.38228808828567, 46.634456949844896, 48.19303519396709
6, 0.45, SIGMOID, 34.75690413114251, 32.81495161959382, 35.04214660345196, 34.2046674513961
6, 0.45, TANH, 37.3861804102067, 37.514662938788945, 37.1488489487682, 37.349897432587944
6, 0.45, RELU, 49.4011270597872, 39.3231271152192, 43.05440445299395, 43.926219542666786
6, 0.475, SIGMOID, 35.42965179402904, 35.275143700329124, 33.47056549898991, 34.725120331116024
6, 0.475, TANH, 37.213613849769565, 37.28235582197052, 37.1546913374862, 37.21688700307543
6, 0.475, RELU, 50.27939699544052, 40.776576545341044, 51.24751554360547, 47.434496361462344
6, 0.5, SIGMOID, 34.89901945064633, 34.77756329353744, 34.53434439605461, 34.7369757134128
6, 0.5, TANH, 36.96676365690293, 36.78576483402338, 37.06242625775563, 36.938318249560645
6, 0.5, RELU, 43.749370666445664, 46.683989304723966, 43.112110648577996, 44.515156873249204
7, 0.025, SIGMOID, 52.794958416670404, 53.258720171065015, 53.13904868415202, 53.064242423962476
7, 0.025, TANH, 33.664539625939426, 33.75233643360963, 34.13101412516927, 33.849296728239445
7, 0.025, RELU, 40.157703021464556, 36.76050016116636, 45.91460519715148, 40.94426945992746
7, 0.05, SIGMOID, 52.11848492458186, 50.663118492655435, 50.70632578350739, 51.16264306691489
7, 0.05, TANH, 34.59165799892687, 34.833510712164525, 34.9502985196061, 34.7918224102325
7, 0.05, RELU, 36.53731078227602, 38.90489813460029, 37.35367393495513, 37.598627617277145
7, 0.075, SIGMOID, 33.560748337411056, 49.269318991329584, 34.82389472959087, 39.217987352777165
7, 0.075, TANH, 35.29720640020585, 34.92992153339262, 34.68546887853889, 34.97086560404579
7, 0.075, RELU, 37.21778621200287, 39.51070047787771, 46.324556908798804, 41.017681199559796
7, 0.1, SIGMOID, 34.199311663447595, 33.708941779224375, 34.13915962331122, 34.01580435532773
7, 0.1, TANH, 35.68395924273994, 35.481991711337415, 35.48574977555651, 35.55056690987795
7, 0.1, RELU, 35.85795566206649, 35.82323919721646, 33.536165964473135, 35.072453607918696
7, 0.125, SIGMOID, 34.006676432649506, 31.99594968573747, 33.70968748369015, 33.23743786735904
7, 0.125, TANH, 36.204077014509245, 36.244926484031296, 35.58124548864142, 36.01008299572732
7, 0.125, RELU, 40.762089134462, 35.14707284007535, 50.59624393722571, 42.16846863725436
7, 0.15, SIGMOID, 34.95887960448768, 35.587687300178885, 34.112813115230374, 34.88646000663231
7, 0.15, TANH, 44.845798373027904, 37.105415333033896, 36.53793253587023, 39.496382080644004
7, 0.15, RELU, 36.24379881619403, 33.702230583169, 42.845828128393705, 37.59728584258558
7, 0.175, SIGMOID, 34.665077110839356, 34.66961928435034, 34.06692851442272, 34.46720830320414
7, 0.175, TANH, 37.1385856539949, 37.340001633803986, 36.86933158617836, 37.11597295799242
7, 0.175, RELU, 48.82925622928996, 33.92157281076608, 42.148605574181595, 41.63314487141255
7, 0.2, SIGMOID, 33.06391720222823, 33.78697189597426, 34.30334429995432, 33.718077799385604
7, 0.2, TANH, 37.42823824232426, 37.535338642993395, 37.533604600305864, 37.499060495207836
7, 0.2, RELU, 37.85021055894003, 37.443102187828075, 48.831216573960674, 41.37484310690959
7, 0.225, SIGMOID, 35.088302454936986, 34.412770513160396, 33.668312400941986, 34.38979512301312
7, 0.225, TANH, 37.526670573057906, 37.7249505345935, 37.81118975966933, 37.68760362244024
7, 0.225, RELU, 60.024944313186985, 40.430327004172, 39.49683537089542, 46.65070222941813
7, 0.25, SIGMOID, 34.34447402389354, 35.272140699236516, 32.615447015893764, 34.07735391300794
7, 0.25, TANH, 37.95827328666005, 37.752564803764734, 37.7846968784228, 37.83184498961586
7, 0.25, RELU, 36.10313330351542, 38.70194527938181, 38.825111903471175, 37.876730162122804
7, 0.275, SIGMOID, 33.545088357092986, 35.1030662669767, 33.546742751414804, 34.064965791828165
7, 0.275, TANH, 38.007421741652365, 37.47099747825462, 37.694166297653155, 37.72419517252005
7, 0.275, RELU, 41.06862074468432, 37.64627637483022, 41.55094219874694, 40.08861310608716
7, 0.3, SIGMOID, 34.31060928838399, 33.80679540559134, 32.502681024614375, 33.540028572863235
7, 0.3, TANH, 37.76087147917314, 37.775108119048426, 37.80507360799773, 37.78035106873976
7, 0.3, RELU, 42.52146145182418, 42.15373632712585, 40.07907183381486, 41.5847565375883
7, 0.325, SIGMOID, 32.960579537917106, 35.23618926115391, 34.324788498169255, 34.17385243241342
7, 0.325, TANH, 37.90175331549898, 37.8263256304552, 38.03252274626467, 37.92020056407295
7, 0.325, RELU, 44.27675887682905, 66.55159891861598, 39.682300571285715, 50.17021945557692
7, 0.35, SIGMOID, 33.79945071909383, 33.32118642307658, 34.61350824277424, 33.911381794981544
7, 0.35, TANH, 38.030462696523614, 37.749685457297225, 38.1067148668062, 37.96228767354235
7, 0.35, RELU, 51.24721950930833, 41.68284724949484, 38.46010242794713, 43.7967230622501
7, 0.375, SIGMOID, 34.71844307813392, 35.15250711773672, 34.86924948940396, 34.91339989509154
7, 0.375, TANH, 37.86448369981155, 38.00496571119044, 37.53483424614615, 37.801427885716045
7, 0.375, RELU, 40.003564464963574, 39.10751295859886, 45.44061052843698, 41.51722931733314
7, 0.4, SIGMOID, 34.91756941443996, 35.362546565883584, 33.58264049087571, 34.620918823733085
7, 0.4, TANH, 37.633326982885656, 37.86187358688649, 37.610521353399655, 37.701907307723936
7, 0.4, RELU, 41.423592318181974, 38.47137939574173, 42.86728548047328, 40.92075239813232
7, 0.425, SIGMOID, 34.49187808736677, 34.51724403592189, 35.048294461188014, 34.68580552815889
7, 0.425, TANH, 37.478153872706436, 37.54204809897928, 37.37299830890304, 37.464400093529584
7, 0.425, RELU, 49.042716863914166, 39.774477697853136, 47.38960233528819, 45.40226563235183
7, 0.45, SIGMOID, 33.08660928226143, 34.849895517767806, 34.715691084265636, 34.217398628098294
7, 0.45, TANH, 37.08667816857275, 37.11402552150609, 37.122874817990365, 37.10785950268974
7, 0.45, RELU, 44.18061544485554, 41.98241463860981, 44.72728677980431, 43.63010562108988
7, 0.475, SIGMOID, 33.053693455715745, 34.11602005926812, 32.931354140862574, 33.367022551948814
7, 0.475, TANH, 37.1940733208325, 37.119824822730756, 37.0256876094662, 37.11319525100982
7, 0.475, RELU, 47.49340175594186, 51.861690167425195, 67.40612538100834, 55.5870724347918
7, 0.5, SIGMOID, 34.49672080006994, 33.988412412233075, 34.55613047851659, 34.34708789693987
7, 0.5, TANH, 37.32172629180997, 37.07989774083904, 37.034347475903594, 37.1453238361842
7, 0.5, RELU, 39.87993582966081, 83.94885096499839, 45.58438928846531, 56.47105869437484
8, 0.025, SIGMOID, 53.49864599738007, 52.69080548831383, 52.92504197725071, 53.0381644876482
8, 0.025, TANH, 33.82257316134985, 34.62376634081338, 33.879403714904186, 34.108581072355804
8, 0.025, RELU, 36.286369526090134, 36.16660691594547, 38.02022739564556, 36.824401279227054
8, 0.05, SIGMOID, 51.21472071693488, 52.110004048588706, 52.3289556424605, 51.8845601359947
8, 0.05, TANH, 34.613304741883134, 34.15551141451436, 33.95809594815531, 34.24230403485094
8, 0.05, RELU, 38.527661482517495, 38.9012216414289, 35.66239766255618, 37.69709359550086
8, 0.075, SIGMOID, 33.75367695651436, 50.50119792514897, 49.97806896515968, 44.74431461560767
8, 0.075, TANH, 35.38974416730079, 35.27602886097781, 37.23002798102499, 35.9652670031012
8, 0.075, RELU, 52.55723026441766, 34.9484460310212, 43.5838647554994, 43.69651368364609
8, 0.1, SIGMOID, 35.017984562679025, 33.955923019453884, 34.367900472790495, 34.44726935164113
8, 0.1, TANH, 35.51846174803641, 36.11064288706217, 35.53253691070011, 35.72054718193289
8, 0.1, RELU, 39.09776794203726, 35.25159692572782, 35.72221737605693, 36.69052741460734
8, 0.125, SIGMOID, 34.80141520256682, 33.77775100556673, 34.8038206521022, 34.460995620078585
8, 0.125, TANH, 36.248428703053726, 36.264733778635694, 35.961312026573815, 36.15815816942108
8, 0.125, RELU, 32.47924852715286, 35.79274170821016, 38.5691726104567, 35.61372094860658
8, 0.15, SIGMOID, 34.87272121109147, 34.64870641420853, 34.28912023595906, 34.603515953753025
8, 0.15, TANH, 36.678784199100726, 36.99624533350496, 36.74359862169705, 36.806209384767584
8, 0.15, RELU, 39.78187104971585, 35.58512162151277, 36.95610363927282, 37.441032103500476
8, 0.175, SIGMOID, 34.10714833327244, 34.395719725030474, 33.70266768348574, 34.06851191392955
8, 0.175, TANH, 37.233011673196536, 37.369035800842894, 37.26784109158431, 37.28996285520791
8, 0.175, RELU, 37.034340410611215, 37.292672101350185, 38.12170041546757, 37.48290430914299
8, 0.2, SIGMOID, 34.86435377117932, 34.90306264649832, 35.13832069554059, 34.96857903773941
8, 0.2, TANH, 37.50958727820483, 37.52845022196022, 37.3190301963223, 37.45235589882912
8, 0.2, RELU, 39.462224115529786, 38.40699542954437, 35.53524820104009, 37.80148924870475
8, 0.225, SIGMOID, 33.488678272829155, 33.91087136618694, 33.48266676465891, 33.62740546789167
8, 0.225, TANH, 37.69344750639274, 37.72885855264303, 37.73575446006157, 37.719353506365785
8, 0.225, RELU, 37.786657865809694, 38.031439582748874, 36.39076435998245, 37.402953936180346
8, 0.25, SIGMOID, 33.18723796236126, 34.12954424151355, 34.58055800081658, 33.965780068230465
8, 0.25, TANH, 37.75195085251267, 37.88149875358096, 37.92439060319086, 37.85261340309483
8, 0.25, RELU, 35.07963928705365, 39.29738077768909, 37.5825514302754, 37.31985716500605
8, 0.275, SIGMOID, 33.82237231717298, 34.19641842405254, 35.311902435313364, 34.44356439217963
8, 0.275, TANH, 37.82881475026653, 37.39922889404219, 37.99340706567941, 37.74048356999604
8, 0.275, RELU, 45.25759655501832, 38.17141986074791, 38.67779863578179, 40.70227168384934
8, 0.3, SIGMOID, 33.90447197749762, 33.303105890395656, 34.272874469393, 33.826817445762096
8, 0.3, TANH, 37.858633188995704, 37.940717711593074, 38.01071874177569, 37.93668988078816
8, 0.3, RELU, 41.34687102728392, 33.56512302323074, 33.23290133877747, 36.048298463097375
8, 0.325, SIGMOID, 34.12363612115755, 34.54327359265475, 35.31033376977653, 34.659081161196276
8, 0.325, TANH, 37.84252424867137, 37.830133044794465, 37.82149813106719, 37.83138514151101
8, 0.325, RELU, 37.322560413900575, 34.78307273967757, 38.17570799400975, 36.76044704919596
8, 0.35, SIGMOID, 34.42693017625577, 35.42323717175978, 34.51733467385727, 34.78916734062428
8, 0.35, TANH, 37.84250833554069, 37.79652514184745, 37.87502478567531, 37.83801942102115
8, 0.35, RELU, 44.23448039886937, 39.79844166704045, 41.849965841429814, 41.96096263577988
8, 0.375, SIGMOID, 35.90847270710744, 34.33952292166092, 35.75047517203646, 35.33282360026828
8, 0.375, TANH, 37.535927277042944, 37.89315583037163, 37.61478252555813, 37.68128854432424
8, 0.375, RELU, 36.83409641155106, 40.84121499217622, 37.89517552510666, 38.523495642944646
8, 0.4, SIGMOID, 33.02813054249226, 33.884987769531456, 34.89397242937914, 33.93569691380096
8, 0.4, TANH, 37.702583586201584, 37.51617459428447, 37.86621208294378, 37.69499008780994
8, 0.4, RELU, 40.131085365842296, 45.485578964170685, 41.113234965497256, 42.24329976517008
8, 0.425, SIGMOID, 34.639635582033954, 35.310608269410345, 34.83683635310864, 34.92902673485098
